0	4.831    4.465        	8.48129      7.23894      	26     10     	  -2.2409   2.2412  -0.2315
1	3.083    4.443        	59.5026      49.3268      	17     10     	   1.4811   2.2559  -2.2459
2	1.835    4.534        	24.3042      32.6975      	10     14     	  -2.2408  -0.4028   2.2443
3	3.787    3.811        	59.726       49.8011      	21     10     	  -2.2421  -1.4513  -2.2477
4	6.229    10.205       	18.5239      18.5178      	34     23     	  -2.2429   2.2455  -1.0152
5	4.406    7.798        	58.6844      58.8675      	24     16     	   1.9799  -2.2418   2.2580
6	1.646    3.482        	25.0128      28.8025      	9      8      	  -2.2477   0.3250  -2.2477
7	4.346    4.408        	61.3148      55.3489      	24     9      	   2.2553  -2.2569   2.2301
8	1.327    3.887        	37.5764      37.5764      	7      8      	   0.9814  -2.2558  -2.2500
9	4.703    5.174        	62.1738      69.3799      	26     10     	  -2.2559   2.2571  -2.2163
10	1.706    4.387        	25.1573      28.9486      	9      14     	   2.2472  -0.3623  -2.2437
11	1.838    6.487        	24.0198      22.0489      	10     14     	  -2.2510  -0.3083   2.2451
12	3.968    4.022        	58.0873      45.2883      	22     8      	   2.2545   2.2576  -1.7475
13	7.064    4.54         	10.994       9.87099      	38     12     	  -2.2444   2.2457   0.5933
14	1.657    3.524        	25.8153      29.6668      	9      7      	   2.2575  -0.4784  -2.2420
15	2.978    4.099        	24.7429      36.0069      	16     11     	   0.7289   2.2406   2.2567
17	1.673    3.869        	24.6769      28.3922      	9      12     	   2.2533   0.1831  -2.2443
18	1.83     5.313        	24.6132      22.6777      	10     11     	   0.4455  -2.2595   2.2511
19	6.389    4.284        	18.1518      20.2598      	35     9      	  -2.2598   2.2547  -1.0015
20	7.28     4.6          	18.2832      22.6023      	40     9      	  -2.2477  -2.2512   1.0462
21	1.652    6.427        	25.7284      133.272      	9      15     	  -0.4680   2.2545  -2.2486
22	1.836    3.761        	25.2847      33.8543      	10     9      	  -2.2564   0.5550   2.2489
23	1.854    3.072        	23.6989      51.9848      	10     6      	   2.2533  -0.1308   2.2402
24	1.645    3.109        	27.6611      31.8676      	9      6      	   2.2592  -0.6842  -2.2481
25	1.835    6.362        	25.2578      23.3173      	10     16     	  -0.5562   2.2525   2.2570
