1	2.896    9.151        	59.8518      47.0004      	16     8      	7.18343    1.8225  -2.2265   2.1498
2	4.532    8.2          	59.6081      47.7572      	25     7      	7.1726    1.6882  -2.2372   2.2375
3	2.905    13.976       	58.3446      49.3503      	16     12     	7.3613    2.2094  -2.0148  -2.1462
4	1.995    27.329       	57.902       52.6973      	11     25     	7.16858    2.1791  -1.9501  -2.0726
5	4.668    11.763       	60.0208      45.8408      	26     11     	7.40856    2.2404   1.9835   2.1836
6	3.975    8.255        	61.7481      49.0608      	22     7      	7.12855   -1.7578  -2.1337   2.2498
7	4        13.351       	57.776       54.9387      	22     12     	7.11977    1.7893   2.2205  -2.1309
8	4.894    12.972       	58.1002      33.3428      	27     11     	7.17976   -2.2047   2.2155   1.7659
9	4.827    14.664       	60.5666      58.5594      	27     13     	7.39694    1.9709   2.2123   2.2136
10	3.166    20.268       	61.0552      71.8835      	18     20     	7.29855   -2.1842   2.0876  -2.0465
11	7.367    8.139        	59.7792      46.7383      	41     7      	7.32658   -2.2405   1.8319   2.2459
12	4.367    7.09         	58.2204      55.3125      	24     6      	7.27828   -1.8807   2.2032  -2.2028
13	5.208    11.683       	53.5143      52.8816      	29     10     	7.14521    2.1883   2.1618  -1.8170
14	5.678    15.21        	64.1664      54.2084      	31     13     	7.25322    2.0427  -2.0610   2.1754
15	3.581    9.274        	61.3529      48.5114      	20     8      	7.1121    1.7854   2.1480   2.2009
16	4.722    21.971       	62.125       73.7638      	26     20     	7.48373   -2.1090  -2.1562  -2.2146
17	2.539    7.098        	58.2426      54.9341      	14     6      	7.42158   -2.0275   2.2086  -2.1866
18	4.553    9.58         	53.2185      49.8302      	25     8      	7.30536    2.2267  -2.0268   2.0679
19	3.125    11.718       	64.1983      62.5733      	17     10     	7.32794    2.0531  -2.1034   2.1875
20	4.969    17.053       	40.4355      63.978       	27     16     	7.21145   -2.1709   2.0161   2.0553
21	3.977    11.734       	64.33        52.4996      	22     10     	7.25496   -1.9862   2.1263  -2.1662
22	3.939    9.632        	63.639       47.4317      	22     9      	7.45484   -2.0981   2.1689   2.1881
23	3.753    8.199        	60.2582      46.6591      	21     7      	7.14167    1.9392   2.2177   2.0180
24	5.027    17.288       	60.5644      57.2585      	28     15     	7.2113    2.0968   1.9115  -2.2250
25	3.312    17.541       	60.2109      46.5438      	18     17     	7.26133    2.2055  -1.9163   2.1553
26	3.666    14.363       	38.7519      60.4033      	20     13     	7.18275    2.0671  -2.1559   1.9943
27	2.712    8.949        	59.7743      46.4476      	15     8      	7.17721   -2.2455   1.9113   2.0453
28	3.112    20.967       	56.8657      58.9105      	17     20     	7.1067   -1.9298  -2.1592   2.0592
29	5.252    15.373       	60.2736      57.3344      	29     14     	7.12616   -2.0989  -1.8830  -2.1781
30	4.064    13.981       	62.22        49.3056      	22     13     	7.10055    2.1130  -1.7795   2.2300
31	4.88     13.901       	62.0337      40.5243      	27     12     	7.66972   -2.2488  -2.1781  -2.2147
32	4.771    9.617        	56.899       59.0883      	26     9      	7.25974    1.9799   2.1615  -2.1410
33	13.527   17.296       	64.7185      45.4217      	75     16     	7.37864   -2.1403   2.2052   2.0414
34	3.65     14.195       	63.2615      53.5406      	20     13     	7.50575    2.0890  -2.2367  -2.1719
35	4.215    12.471       	60.1965      45.885       	23     11     	7.4151   -2.0007   2.2308   2.1833
36	2.714    11.954       	56.0806      46.8081      	15     11     	7.12351   -2.1958   1.9579   2.0078
37	3.121    13.437       	62.994       62.2112      	17     13     	7.54986    2.1470  -2.1880   2.2030
38	8.445    12.534       	63.9915      40.4089      	47     11     	7.16071    2.0007  -2.1552   2.0424
39	3.057    9.103        	59.9907      47.3936      	17     8      	7.13519    1.7946  -2.2217   2.1380
40	4.692    15.112       	63.5994      60.0526      	26     15     	7.27644    2.0655   2.1347   2.1009
41	4.55     8.1          	58.6139      73.1125      	25     7      	7.11067   -2.1870  -1.8679  -2.0901
42	3.236    16.237       	35.1602      59.8036      	18     14     	7.1408   -2.1146  -2.1050  -1.9610
43	4.372    9.366        	57.4581      74.137       	24     8      	7.22819   -1.7641   2.2212  -2.2396
44	3.066    12.514       	60.8212      60.7975      	17     11     	7.36416   -2.1957  -1.9262   2.2419
45	6.609    12.488       	59.8686      50.3727      	36     11     	7.35408    2.2358  -1.9392   2.1820
46	4.723    8.208        	60.3585      57.9634      	26     7      	7.10752   -1.8137   2.0898  -2.2300
47	2.377    33.326       	56.9263      62.2598      	13     33     	7.3857    2.1938   2.0378   2.1614
48	4.392    8.23         	61.2349      57.5144      	24     7      	7.24092   -1.9564   2.0781  -2.2275
49	2.348    15.023       	53.0266      59.4357      	13     13     	7.31001    2.1590  -2.1919  -1.9732
50	2.365    14.181       	55.4662      35.5959      	13     12     	7.26187    2.0558  -2.2428  -1.9817
51	3.221    9.136        	60.0202      46.5716      	18     8      	7.25282    2.2150   1.8932   2.1588
52	2.891    10.23        	62.0709      48.7387      	16     9      	7.10459   -2.1163   1.8315   2.1876
53	2.534    10.455       	56.016       62.5621      	14     9      	7.13585    1.9584   2.1402   2.0771
54	4.729    6.994        	59.2108      57.1214      	26     6      	7.12382    1.7808  -2.1327  -2.2288
55	4.546    8.222        	58.8129      56.7917      	25     7      	7.14598   -1.7705   2.1496  -2.2385
56	4.721    6.908        	57.8342      55.0645      	26     6      	7.32693   -1.8549  -2.2276  -2.2401
57	5.203    9.455        	61.0811      47.5082      	29     8      	7.20858    1.8792   2.1602   2.1893
58	6.207    10.116       	54.4406      48.5123      	34     9      	7.43374    2.0338   2.2140   2.1856
59	3.075    12.706       	60.1468      49.9085      	17     11     	7.14304   -2.1294  -2.0042  -2.0505
60	4.179    23.714       	58.4642      32.5038      	23     24     	7.19632    2.2292  -2.2325   1.7301
61	3.169    8.095        	65.1618      60.4893      	18     7      	7.23339   -2.1291   2.1120   2.0216
62	4.138    8.794        	63.39        57.8187      	23     8      	7.29364    2.0582   2.0174  -2.2346
63	5.253    22.041       	61.8248      52.5566      	29     20     	7.52064    2.1381  -2.1284  -2.2447
64	3.646    9.506        	59.6552      58.7697      	20     9      	7.25321   -2.2086   1.9910  -2.0762
65	5.549    9.308        	62.5057      62.9827      	31     8      	7.32531   -2.1191   1.9709   2.2449
66	3.973    8.151        	58.2907      86.9094      	22     7      	7.13049   -2.1001  -2.2076   1.8512
67	10.906   8.184        	54.6089      45.8594      	60     7      	7.35949   -2.0173   2.2154   2.1361
68	3.851    10.504       	61.5566      51.0458      	21     9      	7.47687    2.1873  -2.0391   2.2436
69	7.024    8.199        	59.5189      46.6099      	38     7      	7.2016   -1.8487   2.2488   2.1192
70	5.602    14.251       	56.2563      39.0234      	31     12     	7.5217    2.1732  -2.1774  -2.1633
71	4.307    18.328       	58.9214      85.2162      	24     16     	7.14442    1.8731   2.1617  -2.1399
72	3.282    9.378        	63.4803      49.9355      	18     8      	7.121    1.8308  -2.0677   2.2472
73	11.58    8.135        	53.7156      62.1502      	64     7      	7.54544   -2.0826   2.2376   2.2112
74	6.357    10.441       	56.8982      49.3563      	35     9      	7.30566    2.2205  -2.2141   1.8736
75	4.148    8.963        	59.7764      47.392       	23     8      	7.20259    1.7544  -2.2273   2.2205
76	5.076    8.955        	64.4106      55.7093      	28     8      	7.34007   -2.0803  -2.0497   2.2227
77	3.607    20.22        	64.2805      64.3072      	20     18     	7.14595   -2.0390  -1.9100   2.2272
78	5.222    9.604        	60.6939      56.8048      	29     8      	7.28709    1.9084   2.1912   2.1982
79	4.753    10.668       	57.9829      53.3901      	26     9      	7.10262   -2.1973  -1.7642  -2.1613
80	4.873    11.555       	63.9528      74.3375      	27     10     	7.20532    1.9880   2.0774  -2.1706
81	5.445    9.535        	57.7824      75.9464      	30     8      	7.2709    1.8256  -2.2175  -2.2286
82	4.351    14.789       	63.7039      38.4695      	24     13     	7.30199    2.1700   2.0206  -2.1303
83	2.929    16.109       	52.9428      66.3768      	16     15     	7.18276    2.1754  -2.1185  -1.9178
